,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link
:Category:Abducens nerve fibers,Abducens nerve fibers,,birnlex_1689,,,Regional part of brain,,Nerve fibers arising from motor neurons in the abducens nucleus that are contained within the pontine tegmentum,,,,,
:Category:Abducens nerve root,Abducens nerve root,,birnlex_1277,,,Regional part of brain,,,,,,6n,
:Category:Abducens nucleus,Abducens nucleus,Nucleus of the abducent nerve,birnlex_1366,,,Nucleus of CNS,:Category:Mammal,"Nucleus located beneath the floor of the 4th ventricle in the pontine tegmentum, containing motor neurons innervating the lateral rectus muscle of the eye (Brodal, Neurological Anatomy, 3rd ed., 1981, pg 533)",,:Category:Cranial nerve nucleus,,6N,
:Category:Accessory abducens nucleus,Accessory abducens nucleus,,nlx_144454,,,Regional part of brain,":Category:Rabbit,:Category:Pig,:Category:Rat","A small cluster of neurons in the pontine reticular formation in some mammals, containing the majority of motoneurons innervating theretractor bulbi muscles of the eye",,,,,
:Category:Accessory basal amygdaloid nucleus,Accessory basal amygdaloid nucleus,"basal amygdaloid nucleus,accessory basal nucleus of amygdala,medial part,medial principal nucleus,basomedial nucleus (De Olmos),basomedial amygdaloid nucleus",birnlex_2686,,,Regional part of brain,,,,,,"ABA, BM",
:Category:Accessory cuneate nucleus,Accessory cuneate nucleus,"lateral cuneate nucleus,external cuneate nucleus,nucleus of corpus restiforme",birnlex_2634,,,Regional part of brain,,,,,,"ACu, ECu",
:Category:Accessory medullary lamina,Accessory medullary lamina,"accessory medullar lamina of pallidum,incomplete medullary lamina of globus pallidus",birnlex_1626,,,Regional part of brain,,"Thin bundle of myelinated axons that divides the medial pallidal segment into outer and inner portions (Carpenter, Core Text of Neuroanatomy, 3rd ed., 1985, pg. 303).",,,,,
:Category:Accessory nerve fiber bundle,Accessory nerve fiber bundle,accessory nerve fibers,birnlex_916,,,Regional part of brain,,Fibers of the accessory nerve (11th cranial nerve) contained within the medulla,,,,,
:Category:Adenohypophysis,Adenohypophysis,anterior lobe of pituitary,birnlex_1581,,,Regional part of brain,,"The adenohypophysis, which consists of the anterior and intermediate lobes of the pituitary gland, contains several types of endocrine cells, which secrete systemic hormones such as adenocorticotropic hormone (ACTH), GH, LH/FSH, TSH and prolactin in response to hypothalamus-derived releasing hormones (PMID:     22080957).",,,,"AHP, APit",
:Category:Aggregate regional part of brain,Aggregate regional part of brain,,nlx_anat_20090509,,,Regional part of brain,,"A regional part of brain consisting of multiple brain regions that are not related through a simple volummetric part of hierarchy, e.g., basal ganglia.",,,,,
