Categorys,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link
:Category:Dentate gyrus granule cell layer,Dentate gyrus granule cell layer,"granular layer of dentate gyrus,DG granule cell layer,dentate gyrus stratum granulosum,DG stratum granulosum,dentate gyrus principal cell layer",birnlex_4129,,,Cell layer,,"Layer of the dentate gyrus characterized by dense packing of dentate gyrus granule cell bodies, lying deep to the molecular layer of the dentate gyrus and superficial to the polymorphic (hilar) layer",cyto-architecture,,,GrDG,
:Category:Dentate gyrus granule cell layer inner blade,Dentate gyrus granule cell layer inner blade,"inner blade of dentate gyrus granule cell layer,inner blade of stratum granulare,Enclosed blade of stratum granulare,extrapyramidal blade of stratum granulare,extrapyramidal blade dentate gyrus granule cell layer",nlx_anat_1008005,,,Cell layer,,,,,,,
:Category:Dentate gyrus granule cell layer outer blade,Dentate gyrus granule cell layer outer blade,"outer blade of dentate gyrus granule cell layer,outer blade of stratum granulare,exposed blade of stratum granulare,infrapyramidal blade of stratum granulare,infrapyramidal blade dentate gyrus granule cell layer",nlx_anat_1008006,,,Cell layer,,,,,,,
:Category:Dentate gyrus molecular layer,Dentate gyrus molecular layer,"Molecular layer of dentate gyrus,DG molecular layer,dentate gyrus molecular layer,dentate gyrus stratum moleculare",birnlex_4127,,,Cell layer,,The molecular layer of the dentate gyrus that is bounded by the pial surface superficially and the dentate gyrus granule cell layer deep.  It is divided into 2 or more sublayers.,,,,Mol,
:Category:Dentate gyrus molecular layer inner,Dentate gyrus molecular layer inner,"inner layer of dentate gyrus molecular layer,DG inner stratum moleculare",nlx_anat_1008004,,,Cell layer,,Inner third of the dentate gyrus,,,,,
:Category:Dentate gyrus molecular layer middle,Dentate gyrus molecular layer middle,"DG middle stratum moleculare,middle layer of dentate gyrus molecular layer",nlx_anat_1008003,,,Cell layer,,,,,,,
:Category:Dentate gyrus molecular layer outer,Dentate gyrus molecular layer outer,"DG outer stratum moleculare,outer molecular layer of dentate gyrus",nlx_anat_1008002,,,Cell layer,,,,,,,
:Category:Dentate gyrus polymorphic layer,Dentate gyrus polymorphic layer,,"nlx_42439,birnlex_4128",,,Cell layer,,,,,,,
:Category:Dorsal cochlear nucleus deep layer,Dorsal cochlear nucleus deep layer,,nlx_153849,,,Cell layer,,Deepest layer of the dorsal cochlear nucleus,,,,,
:Category:Dorsal cochlear nucleus pyramidal cell layer,Dorsal cochlear nucleus pyramidal cell layer,,nlx_153848,,,Cell layer,,,,,,,
:Category:Dorsolateral prefrontal cortex layer 1,Dorsolateral prefrontal cortex layer 1,,nlx_156731,7580124,"Rajkowska G, Goldman-Rakic PS. Cytoarchitectonic definition of prefrontal areas in the normal human cortex: I. Remapping of areas 9 and 46 using quantitative criteria. Cereb Cortex. 1995 Jul-Aug;5(4):307-22. PubMed PMID: 7580124.",Neocortex layer 1,,Most superficial layer of the Dorsolateral Prefrontal Cortex (DLPFC).,,,,,
:Category:Dorsolateral prefrontal cortex layer 2,Dorsolateral prefrontal cortex layer 2,,nlx_156732,7580124,"Rajkowska G, Goldman-Rakic PS. Cytoarchitectonic definition of prefrontal areas in the normal human cortex: I. Remapping of areas 9 and 46 using quantitative criteria. Cereb Cortex. 1995 Jul-Aug;5(4):307-22. PubMed PMID: 7580124.",Neocortex layer 2,,Layer 2 of neocortex lying just deep to superficial layer 1 of dorsolateral prefrontal cortex.,,,,,
:Category:Dorsolateral prefrontal cortex layer 3,Dorsolateral prefrontal cortex layer 3,,nlx_156733,7580124,"Rajkowska G, Goldman-Rakic PS. Cytoarchitectonic definition of prefrontal areas in the normal human cortex: I. Remapping of areas 9 and 46 using quantitative criteria. Cereb Cortex. 1995 Jul-Aug;5(4):307-22. PubMed PMID: 7580124.",Neocortex layer 3,,Layer 3 of dorsolateral prefrontal cortex lying deep to the layer 2 and cytoarchitectonically defined by numerous small pyramidal neurons.,,,,,
:Category:Dorsolateral prefrontal cortex layer 4,Dorsolateral prefrontal cortex layer 4,,nlx_156734,7580124,"Rajkowska G, Goldman-Rakic PS. Cytoarchitectonic definition of prefrontal areas in the normal human cortex: I. Remapping of areas 9 and 46 using quantitative criteria. Cereb Cortex. 1995 Jul-Aug;5(4):307-22. PubMed PMID: 7580124.",Neocortex layer 4,,Layer 4 of dorsolateral prefrontal cortex lying deep to the external pyramidal layer and cytoarchitectonically defined by presence of small cells.,,,,,
