nifext_5214,NIFMOL:nifext_5214
T3D0044,
T3D0035,
nlx_organ_090801,NIFORG:nlx_organ_090801
PATO_0001708,OBO:PATO_0001708
nifext_5182,NIFMOL:nifext_5182
birnlex_219,NIFORG:birnlex_219
birnlex_152,NIFORG:birnlex_152
birnlex_397,NIFORG:birnlex_397
birnlex_104,NIFORG:birnlex_104
birnlex_109,NIFORG:birnlex_109
birnlex_106,NIFORG:birnlex_106
birnlex_174,NIFORG:birnlex_174
birnlex_544,NIFORG:birnlex_544
birnlex_548,NIFORG:birnlex_548
birnlex_557,NIFORG:birnlex_557
birnlex_2216,NIFINV:birnlex_2216
birnlex_2411,NIFINV:birnlex_2411
,
,
birnlex_403,NIFORG:birnlex_403
birnlex_262,NIFORG:birnlex_262
nifext_5225,NIFMOL:nifext_5225
PATO_0001709,OBO:PATO_0001709
PATO_0002006,OBO:PATO_0002006
nifext_5212,NIFMOL:nifext_5212
nifext_5221,NIFMOL:nifext_5221
nifext_5228,NIFMOL:nifext_5228
nifext_5230,NIFMOL:nifext_5230
nifext_5219,NIFMOL:nifext_5219
nifext_5215,NIFMOL:nifext_5215
birnlex_412,NIFORG:birnlex_412
birnlex_2217,NIFINV:birnlex_2217
birnlex_2412,NIFINV:birnlex_2412
birnlex_2028,NIFINV:birnlex_2028
birnlex_288,NIFORG:birnlex_288
birnlex_195,NIFORG:birnlex_195
oen_0001237,
T3D0040,
PATO_0001710,OBO:PATO_0001710
CHEBI:53763,
nlx_inv_20090243,NIFINV:nlx_inv_20090243
nlx_156814,
birnlex_2218,NIFINV:birnlex_2218
birnlex_2165,NIFINV:birnlex_2165
birnlex_2220,NIFINV:birnlex_2220
birnlex_2221,NIFINV:birnlex_2221
nlx_158014,
GO:0004993,GO:0004993
nifext_5890,NIFMOL:nifext_5890
nifext_5891,NIFMOL:nifext_5891
nifext_6386,NIFMOL:nifext_6386
nifext_6164,NIFMOL:nifext_6164
nifext_5267,NIFMOL:nifext_5267
nifext_6354,NIFMOL:nifext_6354
nifext_6741,NIFMOL:nifext_6741
nifext_6982,NIFMOL:nifext_6982
nifext_7414,NIFMOL:nifext_7414
nifext_6151,NIFMOL:nifext_6151
nifext_6120,NIFMOL:nifext_6120
nifext_7153,NIFMOL:nifext_7153
nifext_6854,NIFMOL:nifext_6854
CHEBI:48282,
nifext_5165,NIFMOL:nifext_5165
birnlex_398,NIFORG:birnlex_398
birnlex_393,NIFORG:birnlex_393
birnlex_472,NIFORG:birnlex_472
birnlex_475,NIFORG:birnlex_475
birnlex_207,NIFORG:birnlex_207
birnlex_568,NIFORG:birnlex_568
nlx_mol_20081201,NIFMOL:nlx_mol_20081201
PATO_0001341,OBO:PATO_0001341
birnlex_2475,NIFINV:birnlex_2475
nlx_34827,
birnlex_581,NIFORG:birnlex_581
birnlex_577,NIFORG:birnlex_577
birnlex_592,NIFORG:birnlex_592
nlx_146708,
nifext_5717,NIFMOL:nifext_5717
nlx_146709,
nifext_7727,NIFMOL:nifext_7727
nifext_6025,NIFMOL:nifext_6025
nlx_146710,
nifext_7556,NIFMOL:nifext_7556
nlx_organ_090702,NIFORG:nlx_organ_090702
nlx_146711,
nlx_146712,
nlx_organ_090703,NIFORG:nlx_organ_090703
nlx_146713,
nlx_146714,
nlx_146715,
nlx_144465,
nlx_144466,
nifext_2568,NIFMOL:nifext_2568
oen_0001212,
oen_0001004,
oen_0001003,
oen_0001009,
oen_0001021,
nlx_24143,
nifext_7014,NIFMOL:nifext_7014
sao265434492,NIFMOL:sao265434492
nifext_5251,NIFMOL:nifext_5251
nifext_3163,NIFMOL:nifext_3163
sao607850352,NIFMOL:sao607850352
sao369353782,NIFMOL:sao369353782
nifext_5968,NIFMOL:nifext_5968
nlx_94485,
nifext_5741,NIFMOL:nifext_5741
nifext_6844,NIFMOL:nifext_6844
nifext_5238,NIFMOL:nifext_5238
nlx_24867,
nlx_155549,
nlx_157690,
nlx_156945,
