,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species/taxa,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link,Fasciculates with,CellSomaShape,CellSomaSize,Located in,SpineDensityOnDendrites,DendriteLocation,BranchingMetrics,AxonMyelination,AxonProjectionLaterality,LocationOfAxonArborization,LocationOfLocalAxonArborization,OriginOfAxon,Neurotransmitter/NeurotransmitterReceptors,MolecularConstituents,Curator_Notes,Phenotypes: ilx:has_location_phenotype,Notes
:Category:A1 neuron,A1 neuron,,nlx_146708,,,Abdominal neuron,:Category:Drosophila,Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 1 (FBbt_00001748).,,,:Category:A1 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00001988,,,,,,,,,,,,,,,,,
:Category:A2 neuron,A2 neuron,,nlx_146709,,,Abdominal neuron,:Category:Drosophila,Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 2 (FBbt_00001749).,,,:Category:A2 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00001989,,,,,,,,,,,,,,,,,
:Category:A3 neuron,A3 neuron,,nlx_146710,,,Abdominal neuron,:Category:Drosophila,Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 3 (FBbt_00001750).,,,:Category:A3 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00001990,,,,,,,,,,,,,,,,,
:Category:A4 neuron,A4 neuron,,nlx_146711,,,Abdominal neuron,:Category:Drosophila,Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 4 (FBbt_00001751).,,,:Category:A4 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00001991,,,,,,,,,,,,,,,,,
:Category:A5 neuron,A5 neuron,,nlx_146712,,,Abdominal neuron,:Category:Drosophila,Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 5 (FBbt_00001752).,,,:Category:A5 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00001992,,,,,,,,,,,,,,,,,
:Category:A6 neuron,A6 neuron,,nlx_146713,,,Abdominal neuron,:Category:Drosophila,Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 6 (FBbt_00001753).,,,:Category:A6 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00001993,,,,,,,,,,,,,,,,,
:Category:A7 neuron,A7 neuron,,nlx_146714,,,Abdominal neuron,:Category:Drosophila,Any abdominal neuron (FBbt_00001987) that is part of some larval abdominal segment 7 (FBbt_00001754).,,,:Category:A7 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00001994,,,,,,,,,,,,,,,,,
:Category:A8 neuron,A8 neuron,,nlx_146715,,,Abdominal neuron,:Category:Drosophila,Any neuron (FBbt_00005106) that is part of some abdominal segment 8 (FBbt_00000029).,,,:Category:A8 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00001995,,,,,,,,,,,,,,,,,
:Category:Abdominal 10 sensory neuron,Abdominal 10 sensory neuron,,nlx_147337,,,Sensory neuron (FBbt Term),:Category:Drosophila,,,,:Category:Abdominal 10 sensory neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002624,Abdominal 10 intersegmental nerve,,,,,,,,,,,,,,,"ilx:has_location_phenotype abdominal , ilx:has_circuit_role_phenotype sensory",
:Category:Abdominal 9 sensory neuron,Abdominal 9 sensory neuron,,nlx_147332,,,Sensory neuron (FBbt Term),:Category:Drosophila,,,,:Category:Abdominal 9 sensory neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002619,Abdominal 9 intersegmental nerve,,,,,,,,,,,,,,,ilx:has_location_phenotype abdominal ,
:Category:Abdominal intersegmental bidendritic neuron isbp,Abdominal intersegmental bidendritic neuron isbp,abdominal intersegmental bidendritic neuron isbd,nlx_146896,,,Bipolar dendrite neuron,:Category:Drosophila,"Bipolar multidendritic neuron in the lateral sensory cluster of larval abdominal segments 1-7. Located at the anterior segment boundary, it emits two long dendritic branches along the segment border muscle (muscle 8) (Williams and Shepherd, 1999).",,,:Category:Abdominal intersegmental bidendritic neuron isbp,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002181,Abdominal transverse nerve,,,,,,,,,,,,,,,"ilx:has_location_phenotype abdominal , ilx:has_morphological_phenotype intersegmental , ilx:has_morphological_phenotype bidendritic",
:Category:Abdominal intersegmental trachea-associated neuron istd,Abdominal intersegmental trachea-associated neuron istd,,nlx_146904,,,Tracheal innervating neuron,:Category:Drosophila,Trachea associated multidendritic neuron located anteriorly in the lateral sensory cluster of larval abdominal segments 1-7.,,,:Category:Abdominal intersegmental trachea-associated neuron istd,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002189,Abdominal transverse nerve,,,,,,,,,,,,,,,ilx:has_location_phenotype abdominal ,
:Category:Abdominal neuron,Abdominal neuron,,nlx_146707,,,Neuron,:Category:Drosophila,Any neuron (FBbt_00005106) that is part of some abdomen (FBbt_00000020).,,,:Category:Abdominal neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00001987,,,,,,,,,,,,,,,,,
:Category:Abdominal posterior fascicle neuron,Abdominal posterior fascicle neuron,,nlx_147164,,,Neuron,:Category:Drosophila,Any neuron (FBbt_00005106) that fasciculates with some abdominal segmental nerve (FBbt_00002197).,,,:Category:Abdominal posterior fascicle neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00002451,Abdominal segmental nerve,,,,,,,,,,,,,,,,
:Category:Abducens nucleus motor neuron,Abducens nucleus motor neuron,"abducens nucleus motor cell,6th nerve motor neuron,VIth nerve motor neuron",nlx_16848,,,Neuron,:Category:Vertebrata,Motor neuron whose cell soma lies within the abducens nucleus.,,,,,,,,,:Category:Abducens nucleus,,,,,,,,,,,,"ilx:has_location_phenotype abducens nucleus , ilx:has_circuit_role_phenotype motor ",
:Category:Accessory nucleus motor neuron,Accessory nucleus motor neuron,"spinal accessory nerve,acessory nucleus motor cell,11th nerve motor neuron,XIth nerve motor neuron",nlx_83979,,,Neuron,:Category:Vertebrata,Motor neuron whose cell soma lies within the Acessory nucleus.,,":Category:Principal neuron role,:Category:Motor role of nerve cell",,,,,,,,,,,,,,,,,,,"ilx:has_location_phenotype accessory nucleus , ilx:has_circuit_role_phenotype motor , ilx:has_circuit_role_phenotype principal",
:Category:Accumbens nucleus core nucleus neuron,Accumbens nucleus core nucleus neuron,,nlx_151892,,,Neuron,:Category:Vertebrata,,,,,,,,,,:Category:Core of nucleus accumbens,,,,,,,,,,,,ilx:has_location_phenotype accumbens nucleus core,
:Category:Accumbens nucleus shell neuron,Accumbens nucleus shell neuron,,nlx_151893,,,Neuron,:Category:Vertebrata,,,,,,,,,,:Category:Shell of nucleus accumbens,,,,,,,,,,,,ilx:has_location_phenotype accumbens nucleus shell,
:Category:Adult DN period neuron,Adult DN period neuron,,nlx_147362,,,Adult pacemaker neuron,:Category:Drosophila,"Period (FBgn0003068) expressing neuron of the adult brain whose cell body is located in the posterior, dorsal-most cortex.",,,:Category:Adult DN period neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003628,,,,,,,,,,,,,,,,,
:Category:Adult Pdf neuron,Adult Pdf neuron,,nlx_148521,,,Pdf neuron,:Category:Drosophila,Pdf expressing neuron that is part of the adult.,,,:Category:Adult Pdf neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100171,,,,,,,,,,,,,,,,,
:Category:Adult anterior LK leucokinin neuron,Adult anterior LK leucokinin neuron,adult ALK neuron,nlx_149018,,,Adult leucokinin neuron of the central nervous system,:Category:Drosophila,"Adult neuron that expresses leucokinin (FBgn0028418) and whose cell body is located superficially in the posterior side of the median protocerebrum (de Haro et al., 2010).",,,:Category:Adult anterior LK leucokinin neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00110059,,,,,,,,,,,,,,,,,
:Category:Adult dMP2 ILP7 neuron,Adult dMP2 ILP7 neuron,,nlx_148840,,,Neurosecretory neuron,:Category:Drosophila,"An adult dMP2 neuron that expresses ILP7. There are two per abdominal segment, all projecting to the hindgut. These projections have ILP7 positive swellings and connect to the anterior intestines and the rectum. Their terminals are also sites of ILP7 localization (Miguel-Aliaga et al., 2008).",,,:Category:Adult dMP2 ILP7 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100539,,,,,,,,,,,,,,,,,
