,Synonym,Label,Id,Definition,ExternallySourcedDefinition,Comment,Synonym,Species,PartiallyOverlapsWith,Is part of,Has role,RelatedTo,Category,SuperCategory
:Category:Abducens nerve fibers,,Abducens nerve fibers,birnlex_1689,Nerve fibers arising from motor neurons in the abducens nucleus that are contained within the pontine tegmentum,,,,,,":Category:Pontine tegmentum,:Category:White matter,:Category:Abducens nerve",,,:Category:Regional part of brain,Regional part of brain
:Category:Abducens nerve root,,Abducens nerve root,birnlex_1277,,,,,,,:Category:Abducens nerve,,,:Category:Regional part of brain,Regional part of brain
:Category:Abducens nucleus,,Abducens nucleus,birnlex_1366,"Nucleus located beneath the floor of the 4th ventricle in the pontine tegmentum, containing motor neurons innervating the lateral rectus muscle of the eye (Brodal, Neurological Anatomy, 3rd ed., 1981, pg 533)",,,Nucleus of the abducent nerve,:Category:Mammal,:Category:Abducens nucleus of ABA 2009,:Category:Pontine tegmentum,:Category:Cranial nerve nucleus,,:Category:Nucleus of CNS,Nucleus of CNS
:Category:Accessory abducens nucleus,,Accessory abducens nucleus,nlx_144454,"A small cluster of neurons in the pontine reticular formation in some mammals, containing the majority of motoneurons innervating the
retractor bulbi muscles of the eye",,,,":Category:Rabbit,:Category:Pig,:Category:Rat",,,,,:Category:Regional part of brain,Regional part of brain
:Category:Accessory basal amygdaloid nucleus,,Accessory basal amygdaloid nucleus,birnlex_2686,,,,"basal amygdaloid nucleus,accessory basal nucleus of amygdala,medial part,medial principal nucleus,basomedial nucleus (De Olmos),basomedial amygdaloid nucleus",,,:Category:Basolateral nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Accessory cuneate nucleus,,Accessory cuneate nucleus,birnlex_2634,,,,"lateral cuneate nucleus,external cuneate nucleus,nucleus of corpus restiforme",,,:Category:Medulla oblongata,,,:Category:Regional part of brain,Regional part of brain
:Category:Accessory medullary lamina,,Accessory medullary lamina,birnlex_1626,"Thin bundle of myelinated axons that divides the medial pallidal segment into outer and inner portions (Carpenter, Core Text of Neuroanatomy, 3rd ed., 1985, pg. 303).",,,"accessory medullar lamina of pallidum,incomplete medullary lamina of globus pallidus",,,":Category:Globus pallidus internal segment,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Accessory nerve fiber bundle,,Accessory nerve fiber bundle,birnlex_916,Fibers of the accessory nerve (11th cranial nerve) contained within the medulla,,,accessory nerve fibers,,,":Category:Medulla oblongata,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Accessory nucleus,,Accessory nucleus,nlx_39810,"Nucleus in the cervical spinal cord containing motor neurons that innervate the sternocleidomastoid and trapezius muscles in the human via nerve fibers that travel through the 11th cranial nerve (Heimer, The human brain and spinal cord, 2nd ed, 1995, pg 260)",,,,,,:Category:Cervical spinal cord,:Category:Cranial nerve nucleus,,:Category:Regional part of spinal cord,Regional part of spinal cord
:Category:Adenohypophysis,,Adenohypophysis,birnlex_1581,"The adenohypophysis, which consists of the anterior and intermediate lobes of the pituitary gland, contains several types of endocrine cells, which secrete systemic hormones such as adenocorticotropic hormone (ACTH), GH, LH/FSH, TSH and prolactin in response to hypothalamus-derived releasing hormones (PMID:     22080957).","* The anterior glandular lobe of the pituitary gland, also known as the adenohypophysis. It secretes the ADENOHYPOPHYSEAL HORMONES that regulate vital functions such as GROWTH; METABOLISM; and REPRODUCTION. (MSH) * The glandular or anterior lobe of the pituitary gland which secretes several hormones. (NCI)",,anterior lobe of pituitary,,,:Category:Hypophysis,,,:Category:Regional part of brain,Regional part of brain
